trait,value,label
segment_path_length,109.51219260692596,0
segment_path_length,420.46045780181885,1
segment_path_length,775.2960251569748,2
segment_path_length,910.2249574661255,3
segment_eu_length,98.04590761474952,0
segment_eu_length,199.7298175035465,1
segment_eu_length,401.9378061342327,2
segment_eu_length,536.0391776726772,3
segment_curvature,1.1169481243136712,0
segment_curvature,2.1051461572298935,1
segment_curvature,1.9288954990664748,2
segment_curvature,1.6980567752865598,3
segment_insertion_angle,63.42606553846552,0
segment_insertion_angle,50.446788653517366,1
segment_insertion_angle,39.100343394370526,2
segment_insertion_angle,1.6301475888286063,3
segment_path_length,136.79646337032318,0
segment_path_length,524.9701242446899,1
segment_path_length,844.2604913115501,2
segment_path_length,844.9924215078354,3
segment_eu_length,123.00406497347964,0
segment_eu_length,360.72149922065915,1
segment_eu_length,779.8679375381449,2
segment_eu_length,808.8442371680718,3
segment_curvature,1.1121296145766992,0
segment_curvature,1.4553336171503248,1
segment_curvature,1.0825685358686203,2
segment_curvature,1.0446911564411039,3
segment_insertion_angle,32.11641873265738,0
segment_insertion_angle,24.918230809309847,1
segment_insertion_angle,16.0031145560052,2
segment_insertion_angle,5.874297365480288,3
segment_path_length,85.58326029777527,0
segment_path_length,851.2478604912758,1
segment_path_length,451.85638242959976,2
segment_eu_length,77.89736837660179,0
segment_eu_length,689.1596331765232,1
segment_eu_length,418.63229689072006,2
segment_curvature,1.098666900838233,0
segment_curvature,1.235196926099174,1
segment_curvature,1.0793634074237528,2
segment_insertion_angle,43.27010398690987,0
segment_insertion_angle,28.199139497882157,1
segment_insertion_angle,2.609890413942736,2
segment_path_length,81.06854152679443,0
segment_path_length,338.83199721574783,1
segment_path_length,1002.7539567947388,2
segment_eu_length,76.00657866263946,0
segment_eu_length,304.38462510448846,1
segment_eu_length,743.847430593129,2
segment_curvature,1.0665990096281384,0
segment_curvature,1.1131705390817106,1
segment_curvature,1.348064018981907,2
segment_insertion_angle,82.29452641356112,0
segment_insertion_angle,16.79072233853404,1
segment_path_length,164.58326029777527,0
segment_path_length,389.83913749456406,1
segment_path_length,194.65432798862457,2
segment_path_length,566.4909393191338,3
segment_path_length,749.5437180995941,4
segment_eu_length,153.95129099815955,0
segment_eu_length,256.9766526359934,1
segment_eu_length,182.0109886792553,2
segment_eu_length,495.4805747958239,3
segment_eu_length,696.8392928071723,4
segment_curvature,1.0690606050178744,0
segment_curvature,1.517021618484423,1
segment_curvature,1.0694647032089348,2
segment_curvature,1.1433161422172233,3
segment_curvature,1.0756335439698088,4
segment_insertion_angle,81.27958762365391,0
segment_insertion_angle,41.70496773246319,1
segment_insertion_angle,23.794352323373765,2
segment_insertion_angle,31.152501455850164,3
segment_insertion_angle,0.5843841551971138,4
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,81.29898953437805,0
segment_path_length,310.98127287626266,1
segment_path_length,546.9001005291939,2
